,name,latitude,longitude,adress,photo_id,photo_width
1499,площадка на Трехпрудном,55.7649675,37.5965696,"Трехпрудный пер., 9 стр, Москва, Россия, 123001",Aap_uEB7Zl0iJNEq4-7K6_nEuvF0xbtIm7cqyF51mjnngTLyjowlZOQqHPgWTwwAOohtHIwSEc-fJTRNjRp4kIyZMYXBaZlChZl_8eV1QcTRq0gy4dC16JlC9YpZzWIBDjfXL5_yFTQqgGIsm7km1RksCEZTfpTO6VxbJzYEr5AHb5_W_RFZ,4032.0
1500,Парк Красная Пресня,55.75430129999999,37.5520428,"ул. Мантулинская, 5, Москва, Россия, 123100",Aap_uEDXnd_zrUJIxUgCzF05IyiHMoeSXatzmr81iBjhUUICD31Oa_r8qyINQ5931QR8ksidetwAEILunlqYujBpTrSmEavMUTRJusmjI15FOYbzRgqJ74RJJD7Da7VxdA8jSJS48fEgJRx-fn-6Jx2R1ZvlAblRu9atkqlOqZWvaF5G3hOR,4032.0
1501,Баскетбольная площадка,55.74790059999999,37.5006925,"Физкультурный пр-д, 7/13, Москва, Россия, 121309",,
1502,Баскетбольная Площадка,55.7588677,37.635397,"Москва, Россия, 101000",Aap_uEBYKQgNVjTEf0WIUkAe-JdStEyGsZZYUz1r1Qo5D2FBzvcnf2O8fw0b9_dszSuOXbv91J5EshkPrTd7LTpe4_zupT0wwiTaKSjieu0B-tPfZL29oHKXubTazQHnJvb0epbIB5cYeTMAtiCeBHq0ELeT65Cm_SxxI83gGHWMOZQaxrQ6,4032.0
1503,Баскетбольная площадка,55.7709081,37.5870516,"Васильевская ул., 4, Москва, Россия, 123056",,
1504,Баскетбольная площадка,55.77446399999999,37.639961,"Большая Спасская ул., 15, Москва, Россия, 129090",,
1505,Рижка,55.79205899999999,37.6171161,"ул. Сущёвский Вал, 56, Москва, Россия, 129272",Aap_uECI7BJnX4R4ZsrK_06WPZkSEBIuhVEF8tlwYdu9Vn2O99U15tIpx1b5SWUfsnJEpF5FcMBtJYzyVyFgrtJrYOh34R_4Kqi5Ok9vZQzmwjnjVykQNWdS9RtchkFPpCvbtk9wudnSKZxIzJqygAAHDyE80lOVy3Q-pSzAtWR2Ti-WHdFA,4898.0
1506,Площадка волейбол и баскетбол,55.7870814,37.5324434,"ЦСКА, Москва, Россия, 125252",Aap_uECzBMPMTjdNbIoIPHBfZ3RwqbDPBz8o8stCbo7X8EySRg5fbwwwKTcKSrpzubkh9kKMwU6KzsIWocZM35kvI3KMuL8yzW5K3XJX_7wsD7ehhBM2sc4GtiG0VwZ_Wc0nG5v5Pi8cbqcz-bLW60qn135Vk99sTnNW-cV9Vao8BKq1pYDf,2448.0
1507,CAMPUS. СПОРТИВНЫЕ ПЛОЩАДКИ,55.76284,37.530252,"2-я Магистральная ул., 16с1, Москва, Россия, 123290",Aap_uEDkIUnnn5OR0dJkGdpBci94sm4k8shAhElZ6HMDDxU45Tg2qJsqJcbmX8oPk1tlP6085tNFN2q8lnyHe52hFaBDY9oNQElWvTdzAtgDzvCZiJLPetOy1mDikSbxJmdqsh6782HH8lPH3eKiFvxod0E1aT8DPIFq4We0NMFImfMdxZ2B,2309.0
1508,Баскетбольная площадка,55.77114229999999,37.492787,"ул. Мнёвники, 7 строение 2, Москва, Московская обл., Россия, 123308",,
1509,Баскетбольная Площадка,55.79815319999999,37.569351,"Петровско-Разумовский пр-д, 16 строение 2, Москва, Московская обл., Россия, 127287",Aap_uEC7R1TrYEj4gS03QaD8sk4ZNvjuzbcgjJTkgX4eUplexZs4SNF6RpyxlWrqgzPAgcpcno5o1bQLnp8yiEoioSCl3yazvZLy4o5DuQGisu0ZaUynbKArLKtglxnBbXezGBB_5ztWv_FpfUIIA-HB6GXJuQy9CNZOkrfr5em47M6ggL12,3008.0
1510,Футбольный манеж CitySport Красная Пресня,55.758499,37.576469,"Дружинниковская ул., 18, Москва, Россия, 123242",Aap_uEDeHYDpkKc6k_eKzQwFSdzWCTG6BcnWAQnycrqYw5iU87bAEFwZqTzhCzIY2bylsPB43Fjs-wViMwhzspDc6pCZl8zWXEQBR1BgEaIgoF_K-wgvTWWlpk_mZnXvFOcloOgeZBdMKl6j1Yq-TYSgFlgEGSxJUMChJGoGGqzm4QK5c-l2,2808.0
1511,Playground Art Court Флакон,55.8055476,37.5852991,"36 стр.5, Большая Новодмитровская ул., Москва, Россия, 127015",Aap_uEDNbFOeZTu7R_f1BOvRBxuVhSX4E2-e2tSpU3iJtYv5G6eqe76ysrgM10c9kqE1bDhUy5-04B0bSWYOesWMAA2LeQkchvLVZHesw3x46LZ-l3aPCPI71npduHoZ15Aga5-RJbExHGEYzbzPhpv7Y-OakPFlywEsO9TwcOI5HJfQYO06,720.0
1512,Баскетбольный Центр Playground,55.800827,37.59457889999999,"ул. Складочная, Дом 1, стр.1, Москва, Россия, 127018",Aap_uEB0h9xvAVzuT7b_zWFDqpyhmQJeBTBpqevD06kTjX4ZAiqduXe7y2YuxLALtBjaGWAayCpGw5UBAW7oIUHU8TKc7teJRkq9nvJ4ocjVDLdK-A2yzO29a45HHspR_TFxtvRQcGqJK404lZ4x5zEiYX1kKzRvUpwZq6XgpjYsakakinuQ,1125.0
1513,Баскетбольная площадка,55.7138727,37.60820289999999,"Москва, Россия, 115419",,
1514,Баскетбольная площадка,55.8058083,37.6434521,"Москва, Россия, 129626",,
1515,Баскетбольная площадка,55.8185041,37.6497913,"Москва, Россия, 129366",,
1516,баскетбольная площадка на территории учебного заведения,55.8069976,37.6428359,"Москва, Россия, 129626",,
1517,Баскетбольная площадка,55.692279,37.5967583,"Москва, Россия, 117449",,
1518,Баскетбольная Акадмия Первый Шаг,55.6907139,37.4994121,"15к1 &nbsp;, Школа № 1434 ""Раменки, ул. Раменки, Москва, Россия, 119607",,
1519,Баскетбольная площадка,55.52866700000001,37.5173061,"Чечерский пр., 112, Москва, Россия, 117042",,
1520,Баскетбольная площадка,55.531945,37.5233469,"Чечерский пр., 80, Москва, Россия, 107042",,
1521,Баскетбольная площадка,55.53445,37.514258,"Южнобутовская ул., 84к2, Москва, Россия, 117042",,
1522,Баскетбольная площадка,55.4189912,37.5281861,"Unnamed Road, Подольск, Московская обл., Россия, 142114",,
1523,Баскетбольная площадка,55.5410371,37.5224866,"ул. Адмирала Руднева, 14, Москва, Россия, 117041",,
1524,Баскетбольная площадка,55.538165,37.5108119,"ул. Кадырова, 8к3, Москва, Россия, 117042",,
1525,Баскетбольная площадка,55.536114,37.518096,"Южнобутовская ул., 76к1, Москва, Россия, 117042",,
1526,Баскетбольная площадка,55.54437799999999,37.533618,"ул. Горчакова, 9к1, Москва, Россия, 117042",,
1527,Баскетбольная площадка,55.5448709,37.5205333,"ул. Адмирала Лазарева, 42к1с1, Москва, Россия, 117041",,
1528,Баскетбольная площадка,55.5411911,37.5028795,"Академика Семёнова ул., 21, Москва, Россия, 117041",,
1529,Баскетбольная площадка,55.53235100000001,37.5254819,"Чечерский пр., 70, Москва, Россия, 117042",,
1530,Универсальная спортивная площадка,55.5274686,37.444157,"Воскресенское, Московская обл., Россия, 142791",Aap_uEAawvVcR0cQDPNQ-Govc4iVN3lDSMxdS4OFkLV15pMBvE2eD8j8xKvHCn_0DmRGYQUIbGlVNLpIvTmZmfnGEkXTyfULPjDvFESPucdizsDjT1DIVyjlXUSjdHP2OgMWFhQ0bqTViQzAkKZzHiSmKO4zay6A4kiGPnrW9xppijap7ey5,1000.0
1531,Баскетбольная площадка,55.5438184,37.5120244,"Академика Семёнова ул., 3, Москва, Россия, 117042",,
1532,Баскетбольная площадка д.5,55.4179966,37.4825025,"Подольск, Московская обл., Россия, 142133",Aap_uEB7WyM9JGK_d9GwINpLCXqTPoflZleRyRLm_MjMJAl1pkImwzGz3KovBxlKv7e_P7GQlw76m2NmREsbwbLA96amrGp5u3ByhPd-UqjVNbXK_Bh1Mq7d-Bplh_ASU8qY-qlnEd9-VZxTwWR_kFNRWO1F3ldpt21KobJb56vT2obanYff,3024.0
1533,Баскетбольная площадка,55.54828389999999,37.5380928,"Москва, Россия, 117042",,
1534,Баскетбольная площадка,55.539491,37.529988,"Южнобутовская ул., 52к2, Москва, Россия, 117042",,
1535,Баскетбольная площадка,55.536295,37.527726,"Южнобутовская ул., 62, Москва, Россия, 117042",,
1536,Баскетбольная Площадка,55.54608400000001,37.554727,"Скобелевская ул., 20, Москва, Россия, 117042",,
